,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a_subj.120,a_subj,True,False,True,a_subj.120,(),['subj_idx'],False,120,,,,,2.6264404986359366,0.1072776809127313,2.425408244432537,2.550424820936541,2.625540502467661,2.6968242829783167,2.8389718110813438,0.0032570419592256677,2.1820336671088274
a_subj.124,a_subj,True,False,True,a_subj.124,(),['subj_idx'],False,124,,,,,2.4264774455090037,0.1038721972546615,2.2351460340868043,2.3538565470831503,2.4214298433729433,2.494434945800441,2.641231819247221,0.004047865391190167,2.043266134959867
t,t,True,False,False,t,(),[],False,,,,,,0.7300080740877554,0.017878974897676325,0.6946949173090944,0.7182078460897166,0.7298066208957761,0.7412760346955543,0.7663697633671496,0.00026577574879449006,0.7536205801127253
t_std,t_std,True,False,False,t_std,(),[],False,,,,,,0.13033998972282365,0.013890745304634963,0.10681815002383248,0.12063801576946084,0.12897872773853322,0.13912461744718435,0.16107032779691702,0.0002290415533670863,0.13344006565744568
t_rate,t_rate,False,False,False,t_rate,(),[],True,,,,,,,,,,,,,,42.323371434065265
t_shape,t_shape,False,False,False,t_shape,(),[],True,,,,,,,,,,,,,,31.895763732466612
t_subj.2,t_subj,True,False,True,t_subj.2,(),['subj_idx'],False,2,,,,,0.7364632809658226,0.011723393945282498,0.7117696374918442,0.7290748827094216,0.7370039802616019,0.7447282609337766,0.7571348667862151,0.0002819649789766686,0.7585761476869137
t_subj.4,t_subj,True,False,True,t_subj.4,(),['subj_idx'],False,4,,,,,0.7156513986802097,0.01886254199597398,0.6766805917348887,0.7035585134273293,0.7165811824607317,0.7290026714215777,0.7492406008689538,0.0004571894945884789,0.7620756309404543
t_subj.6,t_subj,True,False,True,t_subj.6,(),['subj_idx'],False,6,,,,,0.6890624044848609,0.008761599273005124,0.6698858995710573,0.6836147776753262,0.689789827685054,0.6952749492377819,0.7039890037494317,0.00019321614875633642,0.697313051576222
t_subj.8,t_subj,True,False,True,t_subj.8,(),['subj_idx'],False,8,,,,,0.7473056593484839,0.015683049806990063,0.713232195326603,0.7375599670895965,0.7484959225821363,0.7583192436351307,0.7741544120871997,0.00044029917389078334,0.7746654702431486
t_subj.10,t_subj,True,False,True,t_subj.10,(),['subj_idx'],False,10,,,,,0.8912973510686614,0.024274548126076975,0.8402696624909284,0.8759900778569764,0.8926482457913365,0.908212952591665,0.9352470976338705,0.0006359927324023821,0.9475441553838625
t_subj.14,t_subj,True,False,True,t_subj.14,(),['subj_idx'],False,14,,,,,0.6762559203485342,0.009655544317387651,0.6548548306480043,0.670163714434759,0.6766077527058993,0.683265762561922,0.6936549903524202,0.00021060517768324463,0.6902940725229534
t_subj.16,t_subj,True,False,True,t_subj.16,(),['subj_idx'],False,16,,,,,0.6681545524905725,0.013566411782413275,0.638413826300274,0.6598210126693874,0.6693031228965576,0.6777690056516539,0.6905590134058557,0.0002967518553016472,0.6855811143440543
t_subj.18,t_subj,True,False,True,t_subj.18,(),['subj_idx'],False,18,,,,,0.6627198410690711,0.009028556076434624,0.6436531543980194,0.6568860211286336,0.6632692468852555,0.6691856454381793,0.6788521347074344,0.00026185471251119783,0.6714031566184302
